gene,k,pooled_effect,se_hk,ci_low,ci_high,p_hk,tau2,I2_percent,prediction_low,prediction_high,max_weight,studies,BH_q,loo_direction_stable,conserved
RRAS,7,0.062231475871672194,0.4484096154990695,-1.0349873264603642,1.1594502782037086,0.8941628010826338,0.28525449224601696,13.815671430481677,-1.6441727726693918,1.7686357244127362,0.2756301302940818,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
TFG,7,0.055075188739840845,0.3969058511778455,-0.9161184422960146,1.0262688197756962,0.8941789312992257,0.0,23.707845934549944,-0.9161184422960146,1.0262688197756962,0.3585527346525734,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
GABPB1,7,-0.052731297703878764,0.38012867866480327,-0.9828726664888674,0.8774100710811099,0.8942105286035008,0.0,12.865238398130058,-0.9828726664888674,0.8774100710811099,0.34518277737369535,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
NQO2,7,-0.06735345220829472,0.48564970111729666,-1.2556954613772249,1.1209885569606353,0.894234966567481,0.2799423019774307,31.869007002150653,-1.8247028770364888,1.6899959726198992,0.31061465811993383,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
SPATA1,4,-0.05681466347127726,0.39353403091754663,-1.3092155861682278,1.1955862592256734,0.8943610736143399,0.0,0.0,-1.3092155861682278,1.1955862592256734,0.4514818949930122,GSE193021;GSE181512;GSE55867;GSE310514,0.9999922887196132,False,False
CDCA7L,6,0.0500946933386411,0.3586907845019152,-0.8719493219121218,0.9721387085894041,0.8943800890352797,0.0,0.0,-0.8719493219121218,0.9721387085894041,0.37311134469764906,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
PACSIN3,7,-0.04916071123663859,0.3550536280457041,-0.9179456414936933,0.8196242190204162,0.8944070619408296,0.0,0.0,-0.9179456414936933,0.8196242190204162,0.3597963517878048,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
MAP3K2,7,0.06358832213571396,0.45959405201164155,-1.0609978104473137,1.1881744547187414,0.8944845588417344,0.3887750457532744,28.855757368077445,-1.8317841934421693,1.958960837713597,0.2778664558605153,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
UACA,7,0.061528131671213675,0.4448279238511705,-1.0269265869204316,1.149982850262859,0.8945138026619506,0.2510799952265795,14.43168179171187,-1.5779975361603207,1.7010537995027482,0.28595129307500045,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
NEK6,7,0.047997320882653204,0.34711087758118175,-0.8013523991320745,0.8973470408973808,0.8945458421325507,0.0,0.0,-0.8013523991320745,0.8973470408973808,0.3599452168173911,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
SHISAL1,6,0.04966007424514251,0.3561479470567396,-0.865847369258076,0.9651675177483611,0.8945475695048051,0.0,0.0,-0.865847369258076,0.9651675177483611,0.3654939802958182,GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
C5ORF15,5,0.05465098719981167,0.3872114129837638,-1.0204202450556805,1.129722219455304,0.8945820847609259,0.0,0.0,-1.0204202450556805,1.129722219455304,0.4415811621293011,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999922887196132,False,False
SBF1,7,-0.047850810337830195,0.3463820719179483,-0.8954172071380103,0.7997155864623499,0.8946457904511768,0.0,0.0,-0.8954172071380103,0.7997155864623499,0.3598516526473929,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
NDUFA1,6,-0.0714063699083708,0.5128294571119663,-1.3896764571396238,1.246863717322882,0.8946951433966954,0.07941345171926098,37.49177031543676,-1.5755976654871706,1.4327849256704288,0.41251625706433626,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574,0.9999922887196132,False,False
CPEB4,7,0.0843697370669653,0.6110384026076016,-1.410787371778272,1.5795268459122027,0.8946977176940004,1.2071626939034652,53.959663261730185,-2.9918671949563644,3.160606669090295,0.20646391587131915,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
PSMB3,7,-0.058395700592029184,0.4229311936044061,-1.0932710504415422,0.9764796492574838,0.8946994108141627,0.0,33.441134003264345,-1.0932710504415422,0.9764796492574838,0.3495450768997813,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
ZNF404,5,-0.055149986901849836,0.3912157017700941,-1.1413389071579474,1.0310389333542476,0.894707366558505,0.0,0.0,-1.1413389071579474,1.0310389333542476,0.4331383002400701,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999922887196132,False,False
TNFRSF11A,4,0.06499970378641004,0.45193962597423565,-1.373273889106597,1.5032732966794171,0.8947573263903067,0.0,0.0,-1.373273889106597,1.5032732966794171,0.588343457131127,GSE193021;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
DOCK1,7,0.06053589625143885,0.4390754850313398,-1.0138431116189763,1.134914904121854,0.8948526991957638,0.21315811826820186,24.401029732241103,-1.4984857189547964,1.6195575114576741,0.29840076739358207,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
MPC2,7,0.046146443843632826,0.3349007614084777,-0.7733261982042482,0.8656190858915139,0.8949131689079683,0.0,2.7937720089371996,-0.7733261982042482,0.8656190858915139,0.3270560379286936,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
RRP36,7,-0.04381219102818143,0.31862810796744245,-0.8234670845216183,0.7358427024652554,0.8951318125771256,0.0,0.0,-0.8234670845216183,0.7358427024652554,0.2524153201150793,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
CATSPERD,4,0.053547135972508784,0.3737036422682576,-1.135744639635172,1.2428389115801897,0.8951461032618099,0.0,0.0,-1.135744639635172,1.2428389115801897,0.4188942784428564,GSE193021;GSE181512;GSE55867;GSE310514,0.9999922887196132,False,False
CENPN,7,-0.0473242459491346,0.34430679214983745,-0.889812616090283,0.7951641241920137,0.8951732189273983,0.0,0.5768492725396659,-0.889812616090283,0.7951641241920137,0.35207039768721404,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
TMSB4X,7,0.07212663762710729,0.5250010938149401,-1.2125047606927466,1.356758035946961,0.8952217605329313,0.5584702569188132,39.15680155281447,-2.162610514736307,2.3068637899905218,0.2524663433580681,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
SALL1,4,0.20022404852490153,1.3990180230772458,-4.252075690042596,4.6525237870924,0.8952694813126012,3.936513696730771,57.32464972749839,-7.5258256459337645,7.926273742983568,0.3560630576477618,GSE193021;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
