gene,k,pooled_effect,se_hk,p_hk,tau2,I2_percent,prediction_low,prediction_high,max_weight,studies,BH_q
CDKN2AIP,5,-0.24753190864407235,0.36894994532846986,0.5390285595204328,0.0,0.0,-1.271901178414296,0.7768373611261512,0.40653683030673926,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
RNF19A,5,0.2715338190602346,0.40474691220995246,0.5390492878662845,0.0,0.0,-0.8522237641890089,1.395291402309478,0.38698152511811607,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
ANK2,4,0.35259111787911973,0.5102820184377923,0.5392479752782071,0.0,0.0,-1.2713540063509452,1.9765362421091845,0.7658114296359128,GSE193021;GSE288678;GSE55867;GSE255574,0.9999227012193477
MN1,5,0.5892023969261752,0.8787284500935838,0.5392538799571533,1.701195658633415,49.26556631782469,-3.77728992063045,4.9556947144828,0.31276485082108785,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
CCDC103,3,-0.4920730092062874,0.6704549191795617,0.5393647799406208,0.0,0.0,-3.376807697388183,2.3926616789756086,0.6220175714820325,GSE193021;GSE226411;GSE255574,0.9999227012193477
C1ORF21,5,0.24598082257658996,0.36703998476860444,0.5394507721946057,0.0,0.0,-0.7730855465460745,1.2650471916992545,0.35879764310730194,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
IFNGR1,5,-0.2690219978987214,0.40144511528262744,0.5394740605936684,0.0,13.113551403196974,-1.3836123232307362,0.8455683274332935,0.41979088346025834,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
RHOT2,5,-0.2943647638005794,0.4392833527148695,0.5394922776058088,0.01875850442574297,0.0,-1.5719168532490562,0.9831873256478972,0.5462394574724699,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
ZNF30,5,0.2591607333624095,0.3868012433206152,0.5395452612915116,0.0,0.0,-0.8147716853395333,1.3330931520643523,0.44865457678638376,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
ZNFX1,5,0.6027889814196437,0.8998284004594879,0.5396124231376238,2.300709007600515,65.58908658678479,-4.293840283588444,5.499418246427731,0.2560202329896282,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
RMDN3,4,-0.2658635119880766,0.3851496699747564,0.5396238387218182,0.0,0.0,-1.4915816561804796,0.9598546322043264,0.439072211431474,GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
SESTD1,5,0.29162416986326267,0.4355044653782625,0.5397673402480059,0.0,0.0,-0.9175300713279961,1.5007784110545215,0.568657931596361,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
ING3,5,-0.27889541611804386,0.41654695895847565,0.5398147698868717,0.0,0.0,-1.4354151814033298,0.877624349167242,0.5166042055609702,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
ZNF20,3,-0.48542431491535454,0.6626584950225087,0.5400565866935936,0.0,0.0,-3.336613697415622,2.3657650675849125,0.5767468839664469,GSE193021;GSE226411;GSE255574,0.9999227012193477
ACMSD,3,-0.3322494268477724,0.4535823254615081,0.5400763257709943,0.0,0.0,-2.2838566576608392,1.6193578039652943,0.6161979435115655,GSE193021;GSE226411;GSE55867,0.9999227012193477
TXLNG,5,-0.259090396103317,0.38731007217293495,0.5401559292996502,0.0,0.0,-1.3344355501816665,0.8162547579750323,0.42671142752833113,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
JOSD2,5,-0.34407252256735665,0.5144042423061613,0.5401976450325113,0.25839972671305167,14.807288762587673,-2.3519845911555923,1.663839546020879,0.4411240709064256,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
