gene,k,pooled_effect,se_hk,ci_low,ci_high,p_hk,tau2,I2_percent,prediction_low,prediction_high,max_weight,studies,BH_q
RNF114,7,0.01496561505132009,0.48686587114073204,-1.1763522549609615,1.2062834850636015,0.9764749202576504,0.3628910048418251,49.13173868617255,-1.880292611070285,1.9102238411729249,0.2242393027358056,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
HNMT,5,-0.011433458948442311,0.36621978460849025,-1.0282225873512754,1.0053556694543906,0.9765895952808173,0.0,3.7739709517521693,-1.0282225873512754,1.0053556694543906,0.25810356209035284,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9998522961638839
ELMO1,4,0.012013055245200637,0.3778970781575192,-1.1906241049147048,1.2146502154051062,0.9766368217947996,0.0,0.0,-1.1906241049147048,1.2146502154051062,0.3896788923744499,GSE193021;GSE181512;GSE55867;GSE310514,0.9998522961638839
YKT6,7,-0.009358878868307975,0.3092242954071625,-0.7660034719620499,0.7472857142254339,0.9768368019763264,0.0,0.0,-0.7660034719620499,0.7472857142254339,0.18303044884994263,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
ZSCAN16,4,-0.01979238408961519,0.6289184637848508,-2.021291625486419,1.9817068573071885,0.9768709554964315,0.5713120182014932,48.31983124613124,-3.1490458164740303,3.1094610482948,0.35051499946504744,GSE193021;GSE226411;GSE55867;GSE255574,0.9998522961638839
NAA16,7,0.008797936231613365,0.2917548151271374,-0.7051003785315916,0.7226962509948184,0.9769212839876287,0.0,0.0,-0.7051003785315916,0.7226962509948184,0.25518593411334545,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
NSUN6,7,0.013932740524155171,0.4620805388900925,-1.1167376062694705,1.1446030873177808,0.9769236162608923,0.6182909910823706,47.54347476607786,-2.217738621460869,2.24560410250918,0.19866450769205243,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
NCOA6,7,0.009395867345716824,0.3117494070044344,-0.7534274512408532,0.7722191859322869,0.9769335803972279,0.0,7.371653890749534,-0.7534274512408532,0.7722191859322869,0.24337404764398154,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
MIER2,7,-0.01222765234071494,0.4085393178958021,-1.011887350958639,0.9874320462772092,0.9770934739448134,0.0,42.973526799626846,-1.011887350958639,0.9874320462772092,0.2822239326258631,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
COPS7A,7,-0.012105820160990176,0.40448197450659074,-1.0018375571556883,0.977625916833708,0.9770942214375992,0.0,41.84486028215934,-1.0018375571556883,0.977625916833708,0.2766871746658532,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
